,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,new_or_old,parking,furnished_status,lift,type_of_building
323,26000000,850,19.183975,72.85414957732429,2,2,0,1,0,0,-1,0,1
324,20000000,900,19.119434356689453,72.86378479003906,2,2,2,1,0,2,2,2,1
325,29500000,1200,19.119312286376957,72.8646469116211,3,2,0,1,0,0,1,0,1
326,23500000,1155,19.119176864624023,72.86361694335938,2,2,0,1,0,0,0,0,1
327,37500000,1180,19.0081756,72.8315419,2,3,2,1,0,2,-1,2,1
329,16000000,890,19.1746739,72.94310379999999,2,2,0,1,0,0,-1,0,1
330,27500000,1250,19.0480326,72.9146963,3,2,0,1,0,0,-1,0,1
331,46500000,1580,19.009217,72.853023,3,4,0,1,0,0,-1,0,1
332,47500000,1400,18.97607,72.82728,2,2,0,1,0,0,2,0,1
333,15000000,1000,19.242420196533203,72.84773254394531,2,2,1,1,0,1,1,1,1
334,45000000,1790,19.1182727,72.8572813,3,3,1,1,0,1,-1,1,1
335,33000000,925,19.0217472077863,72.84346191187021,2,2,0,1,0,0,-1,0,1
337,24000000,1200,19.21404838562012,72.85497283935547,3,4,0,1,0,0,1,0,1
340,26000000,1500,19.226960100000003,72.8537703,3,3,0,1,0,0,-1,0,1
341,42500000,1356,19.028728485107425,72.84416198730469,4,4,1,1,1,1,2,1,1
342,27500000,1080,19.05624,72.88755,2,2,1,1,0,1,1,1,1
344,45000000,1250,18.964489,72.80726999999999,2,2,1,1,0,1,-1,1,1
345,9900000,1100,19.21398162841797,72.85509490966797,3,3,0,1,0,0,1,0,1
348,30000000,1400,19.2273218,72.8590594,4,4,0,1,0,0,-1,0,1
350,24500000,960,19.11888885498047,72.86404418945312,2,2,0,1,0,0,2,0,1
351,45000000,1300,19.11724090576172,72.85493469238281,3,4,0,1,0,0,0,0,1
355,19000000,830,19.214054107666016,72.8552017211914,2,2,0,1,0,0,1,0,1
356,16500000,1100,18.994070053100582,72.85102081298828,3,2,0,1,0,0,1,0,1
359,3500000,620,19.28998,72.79180799999999,2,2,1,1,0,1,0,1,1
360,20000000,638,19.149901,72.931134,2,2,0,1,0,0,0,0,2
361,13000000,650,19.15381050109864,72.95048522949219,2,2,0,1,0,0,2,0,1
362,13899999,535,19.0908063,72.90766690000001,2,2,0,1,0,0,1,0,1
363,16000000,900,19.119037628173828,72.8641586303711,2,2,1,1,0,1,0,1,1
364,27000000,1500,19.18023681640625,72.85541534423828,3,3,0,1,0,0,1,0,2
365,32500000,1585,19.157602,72.945243,2,2,1,1,0,1,-1,1,1
366,30000000,900,19.08150863647461,72.83767700195312,2,2,1,1,0,1,1,1,1
367,26000000,979,19.0327996,72.89635679999999,2,2,0,1,0,0,-1,0,1
368,36000000,1850,19.1771773695655,72.9600928443916,3,3,1,1,0,1,-1,1,1
369,55000000,1725,19.110319,72.84085400000001,3,3,0,1,0,0,-1,0,1
371,19000000,900,19.103515625,72.84521484375,2,2,0,1,0,0,2,0,1
372,19500000,940,19.16882705688477,72.93821716308594,2,2,1,1,0,1,2,1,1
373,45000000,1150,19.05968,72.83422,2,3,0,1,0,0,-1,0,1
375,20500000,1125,19.2245918099837,72.8470606183299,2,2,0,1,0,0,-1,0,1
376,36300000,1832,19.11197019,72.86248825,3,3,1,1,0,1,-1,1,1
377,4600000,980,19.21339,72.93141999999999,2,2,0,1,0,0,1,0,2
379,21500000,900,19.14724,72.84012,2,2,1,1,0,1,1,1,1
380,18000000,850,19.08147,72.86251,2,2,0,1,0,0,0,0,1
382,37500000,923,19.08870315551757,72.89613342285156,2,2,1,1,0,1,0,1,1
384,41500000,875,19.01666641235352,72.81666564941406,2,2,0,1,0,0,0,0,1
